,Before Flood State of Orign Totals,During Flood State of Orign Totals,After Flood State of Orign Totals
AL,2,4,8
AR,2,0,0
AZ,8,11,2
CA,7,2,4
CO,2,10,4
FL,2,2,10
GA,6,4,4
ID,8,22,47
IN,2,0,2
LA,6,2,0
MT,18,15,28
NC,9,8,0
NY,4,7,2
PA,2,8,4
SC,2,2,0
UT,18,16,17
WA,3,6,2
WY,2,2,13
DE,0,2,0
IL,0,2,6
KS,0,2,0
MD,0,2,2
MN,0,2,4
NM,0,2,0
OH,0,2,2
TX,0,8,5
VA,0,4,7
VT,0,2,0
KY,0,0,2
MI,0,0,6
NJ,0,0,6
OR,0,0,2
SD,0,0,2
TN,0,0,2
